latitude,longitude,MQ135 value,MQ2 value,MQ2 average,MQ2 peak,dust
51.5021820068,0.0058032999,98,72,72.48,74,10091.18
51.5021820068,0.0058183002,90,71,71,72,10091.18
51.5021553039,0.0058482999,83,69,69.97,72,10091.18
51.5021400451,0.0058699998,83,69,68.29,70,10091.18
51.5021400451,0.0058866,85,70,69.19,70,10091.18
51.5021476745,0.0058983001,90,71,70.8,72,10091.18
51.5021476745,0.0059116001,94,73,72.07,74,10091.18
51.5021476745,0.0059216003,98,74,73.17,74,10091.18
51.5021553039,0.0059233002,101,75,73.97,75,10091.18
51.5021553039,0.0059183001,103,74,74.07,75,10091.18
51.5021743774,0.0059082994,105,75,74.14,75,10091.18
51.5021820068,0.0059050006,106,75,74.2,75,10091.18
51.5021972656,0.0058983001,107,74,74.25,76,10091.18
51.5022125244,0.0058882999,110,75,74.14,76,10091.18
51.5022125244,0.0058800001,113,75,75,76,10091.18
51.5022201538,0.0058800001,114,76,76.03,77,10091.18
51.5022201538,0.0058783001,111,76,76.21,77,10091.18
51.5022201538,0.0058800001,110,75,75.41,77,10091.18
51.5022201538,0.0058783001,110,74,75.17,76,10091.18
51.5022201538,0.0058766002,112,77,75.62,77,10091.18
51.5022315979,0.0058683004,113,76,75.88,77,10091.18
51.5022392272,0.0058699998,113,75,75.48,76,10091.18
51.5022201538,0.0058699998,112,74,74.65,75,10091.18
51.5022315979,0.0058566002,112,73,73.64,74,10091.18
51.5022315979,0.0058466005,111,73,73.37,75,10091.18
51.5022392272,0.0058400001,110,72,72.75,74,10091.18
51.5022392272,0.0058382997,109,73,72.31,74,10091.18
51.5022392272,0.0058382997,109,71,72.21,74,10091.18
51.5022315979,0.0058282999,107,72,71.77,73,10091.18
51.5022315979,0.0058232998,107,72,71.2,72,10091.18
51.5022125244,0.0058232998,107,71,71.03,72,2983.66
51.5021972656,0.0058333005,106,71,71,71,2983.66
51.5021896362,0.0058400001,106,71,70.98,72,2983.66
51.5021820068,0.0058450007,106,71,71,72,2983.66
51.5021820068,0.0058500003,106,71,71.01,72,2983.66
51.5021820068,0.005855,106,70,71.08,72,2983.66
51.5021820068,0.0058482999,106,71,71.15,72,2983.66
51.5021743774,0.0058333005,106,71,71.02,72,2983.66
51.5021743774,0.0058215999,105,71,71.3,72,2983.66
51.5021743774,0.0058066005,104,71,70.99,72,2983.66
51.5021743774,0.0057850003,104,70,70.71,71,2983.66
51.5021820068,0.0057682995,103,71,70.27,71,2983.66
51.5021743774,0.0057550001,102,69,70.11,72,2983.66
51.5021743774,0.0057416005,103,70,69.97,72,2983.66
51.5021743774,0.0057283,103,70,70.19,72,2983.66
51.5021743774,0.0057232999,103,70,70.08,72,2983.66
51.5021743774,0.0057216,102,70,70.01,71,2983.66
51.5021553039,0.0057550001,102,70,70,71,2983.66
51.5021629333,0.0057616,101,70,69.93,70,2983.66
51.5021553039,0.0057599997,101,70,69.69,71,2983.66
51.5021629333,0.0057616,102,69,69.35,71,2983.66
51.5021743774,0.0057550001,101,69,69.24,70,2983.66
51.5021743774,0.0057533001,101,69,69.11,70,2983.66
51.5021743774,0.0057533001,101,69,69.4,70,2983.66
51.5021743774,0.0057516002,102,70,69.73,70,2983.66
51.5021743774,0.0057516002,101,70,69.77,70,2983.66
51.5021743774,0.0057516002,102,70,69.36,71,2983.66
51.5021820068,0.0057682995,102,70,69.26,70,2983.66
51.5021972656,0.0057833003,102,70,69.57,71,2983.66
51.5022315979,0.0057733006,101,69,69.58,71,2983.66
51.5022964477,0.0057599997,101,69,69.18,70,2377.41
51.5023269653,0.0057632999,101,69,68.97,70,2377.41
51.5023612976,0.0057516002,100,68,68.93,70,2377.41
51.5023994445,0.0057333002,100,68,68.36,70,2377.41
51.5024261474,0.0057315998,99,68,68.15,69,2377.41
51.502456665,0.0057216,100,68,68.12,69,2377.41
51.5024642944,0.0057183003,99,68,68.13,69,2377.41
51.5024833679,0.0057200002,100,68,68.25,70,2377.41
51.5024986267,0.0057283,97,66,67.36,68,2377.41
51.5025062561,0.0057350006,94,65,65.91,67,2377.41
51.5025215148,0.0057433004,91,64,64.4,66,2377.41
51.5025405883,0.0057416005,89,64,63.98,64,2377.41
51.5025482177,0.0057399997,94,65,64.09,66,2377.41
51.5025634765,0.0057283,95,66,65.84,67,2377.41
51.5025863647,0.0057183003,97,67,67.02,68,2377.41
51.5026359558,0.0057583003,99,68,67.96,70,2377.41
51.5026931762,0.0058083004,97,67,67.64,69,2377.41
51.5027275085,0.0058450007,95,65,65.9,68,2377.41
51.5027503967,0.0058616008,96,66,64.84,66,2377.41
51.5027732849,0.0058833003,98,67,66.45,68,2377.41
51.5027999877,0.0058916001,99,69,68.1,70,2377.41
51.5028152465,0.0059000005,101,70,69.28,71,2377.41
51.5028495788,0.0059133005,102,71,70.05,71,2377.41
51.5028648376,0.0059183001,103,71,70.84,72,2377.41
51.5028877258,0.0059233002,103,71,71.09,72,2377.41
51.5029144287,0.0059299998,104,72,71.39,72,2377.41
51.5029296875,0.0059416003,104,72,71.64,73,2377.41
51.5029373168,0.0059516,104,71,71.25,72,2377.41
51.5029525756,0.0059565997,104,71,71.17,72,2377.41
51.5029792785,0.0059682998,103,72,71.11,72,2377.41
51.5029945373,0.0059733004,104,71,71.12,72,433.29
51.5030097961,0.0059783005,104,72,71.13,72,433.29
51.5030174255,0.0059866003,103,71,70.94,72,433.29
51.5030288696,0.0059966001,104,70,70.67,72,433.29
51.503036499,0.0060132999,103,70,70.17,72,433.29
51.5030441284,0.0060233001,103,71,70.01,71,433.29
51.5030517578,0.0060315999,103,70,70.06,71,433.29
51.5030670166,0.0060450005,103,70,70.04,71,433.29
51.5030746459,0.0060665998,103,70,70.01,71,433.29
51.5030937194,0.0060800004,103,70,69.97,71,433.29
51.5031013488,0.0060966005,102,69,69.78,70,433.29
51.503124237,0.0061033,101,69,69.27,70,433.29
51.5031509399,0.0061115999,102,70,69.15,70,433.29
51.5031738281,0.0061316003,102,69,69.04,70,433.29
51.5031890869,0.0061433005,101,69,69,70,433.29
51.5031967163,0.0061565999,101,69,68.98,70,433.29
51.5032081604,0.00617,101,69,68.98,70,433.29
51.5032081604,0.0061865997,101,69,68.96,70,433.29
51.5032157897,0.0061999998,101,69,68.96,70,433.29
51.5032157897,0.0062199997,101,69,68.89,70,433.29
51.5032157897,0.0062383003,100,69,68.67,70,433.29
51.5032081604,0.0062583007,101,68,68.29,69,433.29
51.5031967163,0.0062749996,99,67,67.37,69,433.29
51.5031967163,0.0062866001,100,67,67.07,68,433.29
51.5031967163,0.0062966003,100,67,67.03,68,433.29
51.5031967163,0.0063033008,101,68,67.77,69,433.29
51.5031890869,0.0063066005,102,68,68.03,69,433.29
51.5031890869,0.0063183002,101,69,68.78,70,433.29
51.5031890869,0.0063316001,101,68,68.14,69,433.29
51.5031890869,0.0063416004,99,66,66.84,68,433.29
51.5031890869,0.006353301,97,66,66.09,67,433.29
51.5031890869,0.0063699998,96,66,65.8,67,8273.74
51.5031890869,0.0063882999,97,67,66.17,68,8273.74
51.5031890869,0.0063999996,98,67,66.73,68,8273.74
51.5031890869,0.0064116001,97,66,66.02,68,8273.74
51.5031890869,0.0064150004,95,66,65.88,68,8273.74
51.5031814575,0.0064100003,92,64,64.14,66,8273.74
51.5031814575,0.0064166011,91,63,62.46,64,8273.74
51.5031814575,0.0064300003,92,64,63.28,65,8273.74
51.5031814575,0.0064433002,95,66,64.43,66,8273.74
51.5031738281,0.0064532995,97,68,66.65,69,8273.74
51.5031661987,0.0064683008,100,70,68.89,71,8273.74
51.5031661987,0.0064882998,100,71,70.27,72,8273.74
51.5031738281,0.0065150012,101,71,71.14,72,8273.74
51.5031738281,0.0065333008,102,73,71.74,73,8273.74
51.5031738281,0.0065533008,102,72,71.86,73,8273.74
51.5031585693,0.0065733003,103,72,71.97,73,8273.74
51.5031509399,0.0065932998,103,73,72.14,74,8273.74
51.5031394958,0.0066150002,103,73,72.38,74,8273.74
51.5031394958,0.0066266002,104,73,72.24,74,8273.74
51.503124237,0.0066415996,103,74,72.2,74,8273.74
51.5031166076,0.0066583003,104,72,72.15,74,8273.74
51.5031013488,0.0066666002,104,72,72.07,73,8273.74
51.50308609,0.0066716003,104,72,72.01,74,8273.74
51.5030670166,0.0066816,104,72,71.96,73,8273.74
51.5030517578,0.0066965999,104,72,71.82,73,8273.74
51.503036499,0.0067083001,103,72,71.74,73,8273.74
51.5030288696,0.0067216005,103,72,71.72,73,8273.74
51.5030021667,0.0067382998,103,72,71.39,73,8273.74
51.5029869079,0.0067515997,103,71,71.08,72,8273.74
51.5029792785,0.0067683005,103,71,70.99,72,8273.74
51.5029716491,0.0067816009,103,71,70.7,72,8273.74
51.5029640197,0.0067965993,102,70,70.47,72,4735.47
51.5029640197,0.0068100004,102,70,70.22,72,4735.47
51.5029525756,0.0068266005,102,71,70.2,72,4735.47
51.5029449462,0.0068466,101,71,70.13,72,4735.47
51.5029296875,0.0068716001,101,70,70.03,72,4735.47
51.5029220581,0.0068900003,101,70,70,71,4735.47
51.5029144287,0.0068966002,101,70,69.98,70,4735.47
51.5029067993,0.0069082999,101,70,69.97,71,4735.47
51.5028953552,0.0069183006,101,70,69.97,71,4735.47
51.5028953552,0.0069333004,101,70,69.99,72,4735.47
51.5028800964,0.0069415998,101,70,69.89,71,4735.47
51.5028800964,0.0069465999,101,70,69.95,71,4735.47
51.5028572082,0.00696,101,70,69.95,71,4735.47
51.5028419494,0.0069800004,100,70,69.81,71,4735.47
51.5028228759,0.0069916009,101,70,69.73,70,4735.47
51.5028076171,0.0070016002,101,69,69.21,70,4735.47
51.5027923583,0.0070132999,100,69,69.06,70,4735.47
51.502784729,0.0070233001,100,69,68.88,69,4735.47
51.5027732849,0.0070333003,100,69,69,70,4735.47
51.5027580261,0.0070433006,100,69,69,70,4735.47
51.5027503967,0.0070583,100,69,69,70,4735.47
51.5027351379,0.0070749998,100,70,69.05,70,4735.47
51.5027198791,0.0070933008,99,69,69.01,70,4735.47
51.502708435,0.0071083002,99,69,69,70,4735.47
51.5026779174,0.0071266002,99,69,69,70,4735.47
51.5026855468,0.0071300001,100,69,68.99,70,4735.47
51.502670288,0.0071316003,99,69,68.99,70,4735.47
51.5026435852,0.0071366,99,69,68.98,70,4735.47
51.5026283264,0.007143301,99,69,68.86,70,4735.47
51.502620697,0.0071483001,99,69,68.78,70,4735.47
51.5026130676,0.0071583003,99,68,68.73,70,4522.6
51.5025978088,0.0071749997,98,69,68.68,70,4522.6
51.5025978088,0.0071899995,98,68,68.28,70,4522.6
51.5025787353,0.0072083001,98,68,68.04,70,4522.6
51.5025558471,0.0072232999,98,68,68.01,69,4522.6
51.5025291442,0.0072449994,97,68,68.01,69,4522.6
51.5025138854,0.0072666001,97,69,68.12,70,4522.6
51.5024909973,0.0072883005,96,68,67.94,70,4522.6
51.5024490356,0.0073199996,94,68,68.27,70,4522.6
51.5024261474,0.0073399996,96,68,68.22,70,4522.6
51.5023994445,0.0073683013,96,68,67.95,69,4522.6
51.5023765563,0.0073900008,96,68,67.97,69,4522.6
51.5023536682,0.0074182996,98,68,68.07,69,4522.6
51.5023269653,0.0074433002,99,68,68.12,70,4522.6
51.5023117065,0.0074650001,98,68,68.13,70,4522.6
51.5022964477,0.0074800009,99,69,68.39,70,4522.6
51.5022697448,0.0075,99,69,68.67,70,4522.6
51.5022621154,0.0075116004,100,68,68.72,70,4522.6
51.5022468566,0.0075183005,99,69,68.78,70,4522.6
51.5022315979,0.0075300006,98,69,68.97,70,4522.6
51.5022201538,0.0075383005,97,69,68.75,70,4522.6
51.502204895,0.0075500006,99,69,68.94,69,4522.6
51.5021820068,0.0075683002,99,69,68.86,69,4522.6
51.5021743774,0.0075816001,100,69,68.98,70,4522.6
51.5021553039,0.0075933008,100,69,69,70,4522.6
51.5021553039,0.0076066007,100,69,68.99,70,4522.6
51.5021476745,0.0076133008,100,69,69,70,4522.6
51.5021400451,0.0076216006,99,69,69,70,4522.6
51.5021324157,0.0076332998,100,69,69.01,70,4522.6
51.5021247863,0.0076465997,102,69,69.04,70,4522.6
51.5021171569,0.0076616001,102,69,69.02,70,2522.18
51.5020980834,0.0076750001,103,70,70,70,2522.18
51.5020980834,0.0076833004,103,69,69.09,70,2522.18
51.5020904541,0.0076932997,103,69,69.11,70,2522.18
51.5020828247,0.0077000007,103,69,69.07,70,2522.18
51.5020675659,0.0077066001,103,69,69.15,71,2522.18
51.5020599365,0.0077116003,104,70,69.09,70,2522.18
51.5020523071,0.0077216005,104,69,69.12,70,2522.18
51.502040863,0.0077300004,105,69,69.23,71,2522.18
51.5020256042,0.0077349996,105,69,69.33,71,2522.18
51.5020179748,0.0077449998,104,69,69.19,70,2522.18
51.502002716,0.0077565999,104,69,69.28,71,2522.18
51.5019950866,0.0077700004,105,69,69.22,71,2522.18
51.5019760131,0.0077816009,105,70,69.23,71,2522.18
51.5019683837,0.0078000001,105,69,70.65,72,2522.18
51.5019607543,0.0078099994,104,70,70.11,72,2522.18
51.501953125,0.0078183002,104,69,69.89,71,2522.18
51.5019378662,0.0078300004,105,70,69.76,71,2522.18
51.5019302368,0.0078432998,103,70,69.98,71,2522.18
51.5019111633,0.0078583002,103,69,69.56,71,2522.18
51.5019035339,0.0078666,103,70,69.11,70,2522.18
51.5018882751,0.0078766002,103,70,69.64,70,2522.18
51.5018806457,0.0078782997,103,70,69.89,71,2522.18
51.5018806457,0.007875,103,70,69.84,71,2522.18
51.5018806457,0.0078766002,102,70,69.98,70,2522.18
51.5018806457,0.0078832998,102,70,69.97,70,2522.18
51.5018882751,0.0078866004,102,70,70,70,2522.18
51.5018959045,0.0078816003,103,70,70,72,2522.18
51.5019035339,0.007880001,103,71,70.05,72,2522.18
51.5019035339,0.0078716011,104,70,70.2,72,2522.18
51.5019187927,0.0078683004,103,71,70.24,72,1204.08
51.5019187927,0.0078632998,104,71,70.4,72,1204.08
51.5019187927,0.0078632998,104,70,70.13,72,1204.08
51.5019111633,0.0078615999,103,70,69.96,71,1204.08
51.5019035339,0.0078632998,103,70,69.56,71,1204.08
51.5019035339,0.0078733005,103,70,69.8,71,1204.08
